Year,Total_Users,Total_Reviews,Average_Rating
2005,937,854,3.9004683840749412
2006,5423,3853,3.995068777575915
2007,15340,15363,3.864414502375838
2008,31097,48226,3.7988636834902336
2009,64911,74387,3.71945366797962
2010,109054,138587,3.7214745971844403
2011,176435,230813,3.7046310216495604
2012,195955,286570,3.678842865617476
2013,209762,383950,3.6836437036072405
2014,233465,522275,3.7229639557704273
2015,247850,688415,3.741978312500454
2016,217620,758882,3.765536671050308
2017,151024,820048,3.778583692661893
2018,133568,906362,3.7810841584267654
2019,104655,907284,3.7665769483425255
2020,47444,554557,3.7826409187874286
2021,40485,618189,3.7047343126454853
2022,2782,31665,3.7045002368545714
